Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-3E5O97,2ROU-03,Hancy - 1,Active,Supply Order Raised,47,FTTP – Type 2,NSW,Kellyville,85-89 Samantha Riley Dr,2155,162040,B + E,11/30/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,1/5/18 12:00,,Ertan Cicek,Datateks
AYCA-4L3R6E,2MIR-26,VENTURA AVE - 1,Active,Supply Order Raised,9,FTTP – Type 3 (MT-LFN),NSW,Miranda,4-6 Ventura Ave,2228,166399,B + E,11/30/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/7/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4LT337,2WET-23,457-463 Victoria street - 1,Active,Developer Contract Signed,32,FTTP – Type 3 (MT-LFN),NSW,Wetherill Park,457-463 Victoria Street,2164,174364,B + E,11/30/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4X6TWU,2LID-08,Omar Mosque - final stages,Active,Supply Order Raised,2,FTTP – Type 2,NSW,Auburn,43-47 Harrow Rd,2144,177336,B + E,11/30/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,3/1/18 12:00,,Nabeel Jaimon,Datateks
AYCA-49DBF5,2CRO-21,Pavilion Cronulla - 1,Active,Developer Contract Signed,36,FTTP – Type 2,NSW,Cronulla,33-39 Croydon St,2230,161039,B + E,12/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4XR9F8,2ROU-02,North West Business Centre - 1,Active,Developer Contract Signed,23,FTTP – Type 3 (MT-LFN),NSW,Rouse Hill,320 Annangrove Rd,2155,181574,B + E,12/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-56PJ6I,2GRK-01,Tuggerah Lakes Hospital - 1,Active,Supply Order Raised,8,FTTP – Type 3 (MT-LFN),NSW,Kanwal,645 Pacific Hwy,2259,181075,B + E,12/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/12/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4Z6R8L,2DAL-28,GALILEO PHILLIP STREET JV - 1,Active,Developer Contract Signed,108,FTTP – Type 2,NSW,Sydney,148-160 King Street,2000,183239,B + E,12/3/18,Awaiting Corrective Action,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-3S7B4B,2HMK-02,BUILDING 2 (CB02) - 1,Active,Developer Contract Signed,12,FTTP – Type 2,NSW,Ultimo,"University of Technology Sydney Building 1 15 Broadway,",2007,183941,B + E,12/6/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4M02LB,2UND-62,"401-405 Illawarra Road, Marrickville - 1",Active,Supply Order Raised,25,FTTP – Type 2,NSW,Marrickville,401-405 Illawarra Rd,2204,176259,B + E,12/7/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,3/22/18 12:00,,Lindy Chan,Datateks
AYCA-4VH4MG,2PTH-02,"36-38 Barber Ave, Penrith - 1",Active,Developer Contract Signed,44,FTTP – Type 2,NSW,Penrith,36 Barber Ave,2750,180016,B + E,12/15/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,DCE Generated,,CLAAN Sent to DP,,Datateks
AYCA-48OYT0,2EDG-65,"240 New South Head Road, Edgecliff NSW -",Active,Supply Order Raised,22,FTTP – Type 2,NSW,Edgecliff,240 New South Head Rd,2027,161415,B + E,12/17/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/30/18 12:00,,,Datateks
