,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown," $	1,221.19 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21532 - AYCA-4TBHNX - 2SHH-05 - NSB - 125 LAKE ENTRANCE - SURVEY, $	682.92 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21537 - AYCA-424B5V- 2LID-05- 9-13 GELIBOLU PARADE, AUBURN"," $	2,088.05 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21538 - 2PAR-63-AYCA-44DU8G 8-10 FRASER ST, WESTMEAD, NSW, 2145"," $	1,359.64 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21539 - 2WLG-05 - AYCA-4SJ1RQ 18 Armstrong St West Wollongong NSW 2500 –INTERNAL," $	1,266.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21540-2LIV-02- AYCA-3DOI9R 166/176-178 Terminus ST ,Liverpool "," $	1,325.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21551 - AYCA-4EN7KA - 2KNS-04 - Lewis & Co - 1," $	10,452.95 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21552 - 2KNS-21 - AYCA-4SJ1RQ 18 Armstrong St West Wollongong NSW 2500 -EXTERNAL," $	1,075.44 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21556  - AYCA-1XCONO -2NEW-22 - Ablin Erskineville Pty Ltd ," $	9,951.76 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21570 - AYCA-1L7010  - 2LID-08 - Mixed Use Development - Tower A and B," $	4,673.01 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21591 - AYCA-3KWVLI - 2ROU-03 - 4 Curtis Road, Kellyville - 1"," $	7,068.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21611-AYCA-3K2CFZ -2CBT-05-Modco Boarding House 1, $	798.75 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21620- AYCA-4SM2C7 - 2LIV-03-60-62 Passefield Street, Liverpool", $	459.60 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - EXT", $	703.20 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21639-AYCA-4SZLC6 -2PTH-02- William Younis - 1, $	893.60 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS", $	676.50 ,,,,,,,,,,,,,,,,,,,,,,,,
MW21649- AYCA-1Y6XJM-2KIL-61-GORDON 2 – 1," $	2,015.96 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1," $	12,308.76 ",,,,,,,,,,,,,,,,,,,,,,,,
