,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
5/1/18,Andrew Mahassy,"MW22350-9SCU-07-AYCA-4VAQ8P-11 Prevost Pl MacGregor, ACT ",,"$10,564.93",,,,,,,,,,,,,,,,,,,,,,,,
5/7/18,Mark Leal,"MW22392-2WEL-01-AYCA-53Y8BE-17 Nicholii St, Montefiores",,"$7,630.73",,,,,,,,,,,,,,,,,,,,,,,,
5/7/18,Dave Yoemans,"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill ",,"$2,549.45",,,,,,,,,,,,,,,,,,,,,,,,
5/15/18,Sogand Mohat,MW22433-2GLB-04-AYCA-4OJUJI-20 Cathcart St Goulburn,,"$4,404.14",,,,,,,,,,,,,,,,,,,,,,,,
,,"MW22455 - 2KEL-08 - AYCA-3LT1P4 - Sub of 123 Arnold Ave, Kellyville - 2",,"$7,140.73",,,,,,,,,,,,,,,,,,,,,,,,
,,"MW22483-2CAH-21-AYCA-4IEHVB-Bottlebrush Place, Lakewood",,"$6,677.56",,,,,,,,,,,,,,,,,,,,,,,,
5/22/18,Andrew Mahassy,"MW417R000044-2ABN-03-AYCA-4YZZ1I-149 The Boulevarde, Oak Flats",,"$7,574.80",,,,,,,,,,,,,,,,,,,,,,,,
5/21/18,Dave Yoemans,"MW22481 - 2KEL-08 - AYCA-4R2N0H - 6,8,9,11 John Hillas Avenue Kellyville ",,"$3,239.95",,,,,,,,,,,,,,,,,,,,,,,,
5/23/18,Dave Yoemans,MW22493 - 2LTO-20 - AYCA-4VG4KY - 23-25 Chelmsford Place Leeton,,"$4,293.87",,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,AYCA‐52JYBU NBN Tech Choice 7 Buggy Crescent McKellar,,"$24,022.70",,,,,,,,,,,,,,,,,,,,,,,,
5/31/18,Dave Yoemans,"MW417R000059-AYCA-59JUMX - 2WAG-02-J83 Trail Street, Wagga Wagga ",,"$3,012.97",,,,,,,,,,,,,,,,,,,,,,,,
5/31/18,Dave Yoemans,"MW22519 - 2COR-01 - AYCA-4V3JM3 - 69 High Street, Thirroul",,"$9,249.00",,,,,,,,,,,,,,,,,,,,,,,,
5/31/18,Ertan Cicek,MW417R000063-2SUX-01-AYCA-52381N-284 River Rd Sussex Inlet ,,"$9,332.53",,,,,,,,,,,,,,,,,,,,,,,,
,,"MW417R000149-2ABN-01-AYCA-4M2GZ2-2 Pine Street, Albion Park Rail",,,,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,"MW417R000141-AYCA-4UXA3J-2ERN-03-1 and 4 Fox Glove Close, Green",,"$6,603.41",,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,MW417R000148-2LIS-21-AYCA-4Z992M-2A Napier St Goonellabah; 17 Blue Hills Ave Goonellabah,,"$16,470.77",,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,"MW417R000151-2RYD-01-AYCA-4PBBAI-6,8,10,12 Anderson Avenue Ryde",,"$5,031.19",,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,"MW417R000149-2ABN-01-AYCA-4M2GZ2-2 Pine Street, Albion Park Rail",,"$7,206.99",,,,,,,,,,,,,,,,,,,,,,,,
,Dave Yoemans,"MW22481 - 2KEL-08 - AYCA-4R2N0H - 6,8,9,11 John Hillas Avenue Kellyville ",,"$3,239.95",,,,,,,,,,,,,,,,,,,,,,,,
