Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
799,A417 MDU New Devs,MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill,Payment Claim,Payment Schedule Received,6/4/18,6/6/18,2d,1d,,,Payment Date  07/06/18,,6/7/18,,,,,
800,A417 MDU New Devs,"MW22345-AYCA-4R1HAL-2RIV-07-Crown, Edmund, William St-7 Riverstone",Variation Proposal,Approved,5/31/18,6/5/18,5d,,,,,,,,,,,
801,A417 MDU New Devs,"MW22345-AYCA-4R1HAL-2RIV-07-Crown, Edmund, William St-7 Riverstone",Request for PC,Approved,5/24/18,6/5/18,12d,,,,,,,,,,,
802,A401 Greenfields,MW22186 - AYCA-3L48XJ - 2CAS-23 - 2 Anella Avenue Castle Hill ,Payment Claim,Payment Schedule Received,6/4/18,6/6/18,3d,1d,,,Payment Date 07/06/18,,6/7/18,,,,,
803,A417 MDU New Devs,MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ,Payment Claim,Payment Schedule Received,6/21/18,6/22/18,1d,0ms,,,Payment date 22/6/18,,6/22/18,,,,,
804,A417 MDU New Devs,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills ",Variation Proposal,Approved,5/31/18,6/5/18,5d,,,,,,,,,,,
805,A417 MDU New Devs,MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ,Request for PC,Approved,6/4/18,6/15/18,11d,,,,,,,,,,,
806,A417 MDU New Devs,MW22035-AYCA-4C4E63-2CWR-01-11 Liverpool Street Cowra,Request for PC,Approved,6/4/18,6/15/18,11d,,,,,,,,,,,
807,A401 Greenfields,MW22033 -AYCA-4PX9WA- 2YAS-01 - 23 Browne Street Yass,Request for PC,Approved,6/5/18,6/20/18,15d,,,,,,,,,,,
808,A401 Greenfields,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",Payment Claim,Waiting for Approval,6/6/18,,737d 7h 25m 52s,,"$4,284.16","$10,941.90",,,6/12/20,,,,,
809,VPL - DCMA,VPL - 2KRG-03-AYCA-2Z4T2N ,Payment Claim,Waiting for Approval,6/19/18,,724d 7h 25m 52s,,,"$39,419.23",,,6/12/20,,,,,
,VPL - DCMA,VPL - 2CAM-60-AYCA-4VCIKM,Payment Claim,Payment Schedule Received,5/22/18,6/8/18,,,,,Payment date 8/06/18,,,,,,,
810,A417 MDU New Devs,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,Payment Claim,Payment Schedule Received,6/6/18,6/9/18,3d,,,,Payment Date ????,,,,,,,
811,A417 MDU New Devs,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,Variation Proposal,Approved,5/31/18,6/5/18,5d,,,,,,,,,,,
812,A417 MDU New Devs,MW22200-AYCA-213H8O-2DAP-01-1 Wongawilli Road Wongawilli The Grove- Stage 4,Request for PC,Approved,6/1/18,6/14/18,13d,,,,,,,,,,,
813,A417 MDU New Devs,MW22200-AYCA-213H8O-2DAP-01-1 Wongawilli Road Wongawilli The Grove- Stage 4,Variation Proposal,Approved,6/1/18,6/5/18,4d,,,,,,,,,,,
814,A417 MDU New Devs,"MW22345-AYCA-4R1HAL-2RIV-07-Crown, Edmund, William St-7 Riverstone",Payment Claim,Waiting for Approval,6/6/18,,737d 7h 25m 52s,,$755.60,"$1,407.47",,,6/12/20,,,,,
815,A417 MDU New Devs,MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ,Variation Proposal,Approved,6/6/18,6/18/18,12d,,,,,,,,,,,
816,A417 MDU New Devs,MW22287-AYCA-4LQOVR-2KEL-08-25 Water Creek Boulevard Kellyville,Request for PC,Approved,6/6/18,6/20/18,14d,,,,,,,,,,,
817,A417 MDU New Devs,MW22287-AYCA-4LQOVR-2KEL-08-25 Water Creek Boulevard Kellyville,Variation Proposal,Approved,6/6/18,6/8/18,2d,,,,,,,,,,,
818,A417 MDU New Devs,MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown,Request for PC,Approved,6/6/18,6/20/18,14d,,,,,,,,,,,
819,A417 MDU New Devs,MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown,Variation Proposal,Waiting for Approval,6/6/18,,737d 7h 25m 52s,,"$1,825.26","$3,536.86",,,6/12/20,,,,,
820,A417 MDU New Devs,MW22050-AYCA-53E534-2LIV-12-25 Glenfield Rd Glenfield Int,Request for PC,Approved,6/7/18,6/20/18,13d,,,, ,,,,,,,
821,A417 MDU New Devs,MW22050-AYCA-53E534-2LIV-12-25 Glenfield Rd Glenfield Int V2,Variation Proposal,Approved,6/8/18,6/21/18,13d,,,,,,,,,,,
822,A417 MDU New Devs,MW22372-AYCA-4WVTLQ-2DBB-01-48 Southlakes Parade Dubbo,Request for PC,Approved,6/7/18,6/20/18,13d,,,,,,,,,,,
